StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Q164,Q167,Q167_15_TEXT,Q168,Q242,Q153,Q233,Q233_4_TEXT,Q155,Q155_12_TEXT,Q248,Q239,Q239_7_TEXT,Q169,Q143_Id,Q143_Name,Q143_Size,Q143_Type,QID22,Q93,Q93_11_TEXT,Q98_1,Q98_2,Q98_3,Q98_12,Q197_1,Q197_2,Q197_12,Q197_13,Q197_14,Q197_14_TEXT,Q99_1,Q99_2,Q99_6,Q99_3,Q99_4,Q99_5,Q99_7,Q99_8,Q100_1,Q100_2,Q100_3,Q100_4,Q219_1,Q219_2,Q219_2_TEXT,Q219_3,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q17,Q45,Q45_7_TEXT,Q46,Q46_7_TEXT,Q47,Q47_3_TEXT,Q49,Q49_11_TEXT,Q50,Q50_5_TEXT,Q59,Q60,Q60_5_TEXT,Q157,Q158,Q158_13_TEXT,Q176,Q176_7_TEXT,Q177,Q178,Q189,Q179,Q179_9_TEXT,Q232,Q233.1,Q233_9_TEXT,Q233_5_TEXT,Q234,Q235,Q235_3_TEXT,Q236,Q237,Q238,Q238_6_TEXT,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_7_TEXT,Q23,Q23_3_TEXT,Q25,Q25_4_TEXT,Q27,Q27_5_TEXT,Q29,Q29_6_TEXT,Q31,Q31_8_TEXT,Q33,Q33_7_TEXT,Q36,Q36_7_TEXT,Q39,Q39_4_TEXT,Q41,Q41_5_TEXT,Q43,Q43_5_TEXT,Q238_1,Q238_2,Q238_3,Q238_4,Q238_5,Q238_6,Q238_7,Q238_8,Q103,Q103_9_TEXT,Q105_1,Q105_2,Q105_3,Q105_4,Q105_5,Q105_6,Q105_6_TEXT,Q105_7,Q107,Q107_7_TEXT,Q110,Q111_1,Q111_2,Q111_3,Q111_4,Q111_5,Q111_6,Q111_7,Q111_8,Q111_9,Q111_10,Q111_11,Q111_12,Q111_12_TEXT,Q113,Q115_1,Q115_2,Q115_3,Q115_4,Q115_5,Q115_6,Q115_7,Q115_8,Q115_8_TEXT,Q152,Q152_8_TEXT,Q226_1_1,Q226_1_2,Q226_2_1,Q226_2_2,Q226_3_TEXT,Q226_3_1,Q226_3_2,Q137,Q91,Q116,Q66,Q111_1.1,Q69,Q231,Q68_1,Q70,Q71,Q71_4_TEXT,Q72,Q72_4_TEXT,Q74,Q74_11_TEXT,Q77_1,Q78,Q230,Q80_1,Q84,Q81,Q81_4_TEXT,Q82,Q82_4_TEXT,Q83,Q83_9_TEXT,Q121,Q121_4_TEXT,Q85,Q85_4_TEXT,Q62_1,Q62_1_TEXT,Q62_2,Q62_3,Q62_4,Q63,Q63_9_TEXT,Q92_1_1,Q92_1_2,Q92_1_3,Q92_2_1,Q92_2_2,Q92_2_3,Q92_3_1,Q92_3_2,Q92_3_3,Q92_4_1,Q92_4_2,Q92_4_3,Q92_5_1,Q92_5_2,Q92_5_3,Q92_6_1,Q92_6_2,Q92_6_3,Q92_7_1,Q92_7_2,Q92_7_3,Q92_8_TEXT,Q92_8_1,Q92_8_2,Q92_8_3,Q88_1_1,Q88_1_2,Q88_1_3,Q88_2_1,Q88_2_2,Q88_2_3,Q88_3_1,Q88_3_2,Q88_3_3,Q88_4_TEXT,Q88_4_1,Q88_4_2,Q88_4_3,Q89_1_1,Q89_1_2,Q89_1_3,Q89_2_1,Q89_2_2,Q89_2_3,Q89_3_1,Q89_3_2,Q89_3_3,Q89_4_TEXT,Q89_4_1,Q89_4_2,Q89_4_3,Q227_1_1,Q227_1_2,Q227_1_3,Q227_2_1,Q227_2_2,Q227_2_3,Q227_3_1,Q227_3_2,Q227_3_3,Q227_4_1,Q227_4_2,Q227_4_3,Q227_5_TEXT,Q227_5_1,Q227_5_2,Q227_5_3,Q228_1_1,Q228_1_5,Q228_1_2,Q228_2_1,Q228_2_5,Q228_2_2,Q228_3_1,Q228_3_5,Q228_3_2,Q228_4_1,Q228_4_5,Q228_4_2,Q228_5_1,Q228_5_5,Q228_5_2,Q228_6_1,Q228_6_5,Q228_6_2,Q228_7_1,Q228_7_5,Q228_7_2,Q228_8_1,Q228_8_5,Q228_8_2,Q228_9_1,Q228_9_5,Q228_9_2,Q228_10_TEXT,Q228_10_1,Q228_10_5,Q228_10_2,Q245_1,Q245_2,Q245_3,Q245_4,Q245_5,Q245_6,Q245_7,Q245_8,Q245_9,Q245_10,Q245_11,Q245_12,Q245_13,Q245_13_TEXT,Q245_14,Q245_15,Q251,Q251_5_TEXT,Q246,Q249_1,Q249_2,Q249_3,Q249_4,Q249_5,Q249_6,Q249_7,Q249_8,Q249_9,Q249_10,Q249_11,Q249_12,Q249_13,Q249_14,Q249_15,Q249_16,Q249_17,Q249_18,Q249_19,Q249_19_TEXT,Q249_20,Q249_21,Q252,Q252_5_TEXT,Q250,Q253,Country_Cleaned_Up
9/30/21 10:13,9/30/21 13:14,57,10841,False,10/7/21 13:14,Canada,A room or small set of rooms in a larger building,,,,51-100 years,Recently renovated/refurbished,,University or higher education office,,,,,,F_1dgVpMr7MALh1O6,18070-H10-O-Living-Lab_rev02.jpg,5754095.0,image/jpeg,"Data about the occupants (occupant demographics and/or meta data),Data about the building operators or operations policies for non-residential case studies,Building HVAC and automation and/or controls information,Building lighting systems and automation and/or controls information,Modes of occupant detection, presence and/or indoor environmental sensing,Data about occupant interaction interfaces and motivation",Students,,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,,0.0,"Occupant type,Income,Health/ Well-being",,"Age,Gender,Education",,,,,,,,Building Operator,,Building owner,,Only on request,,"No, they do not",,Windows,,No,,,Yes,VAV AHU system with zone reheat and other perimeter heating,,Mechanical - Forced Air,,Less than 5 zones,Less than 20 m2 (215 sqft),5-10 Occupants,"CO2,RH,Temperature,Terminal device airflow,Discharge air temperature (i.e., air temperature at supply diffuser)",,newer than 5 years,LED,,,Programmable on same BAS network the HVAC controls,,,Less than 20 m2 (215 sqft.),5-10 Occupants,"Controllable thermostats (not those that display numbers and do nothing else),Lights with manual override,Roller shades",,Motion sensing,Motion sensing,Not collected,Not collected,Not collected,Not collected,,,,,,,PIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada
3/31/22 8:52,3/31/22 9:29,100,2220,True,3/31/22 9:29,Canada,"A whole building,Multiple whole buildings (2-5 buildings)",,"1001-2000 sqm (21,500 sqft)",Completed with publication - the case study has been completed and published (you can submit a link in a future question),Less than 10 years,New Construction (built recently),,University or higher education office,,16-30,No IRB or Ethics review.,,http://dx.doi.org/10.1080/23744731.2021.1936629;  http://dx.doi.org/10.1080/19401493.2021.2019309,,,,,"Modes of occupant detection, presence and/or indoor environmental sensing,Data about occupant interaction interfaces and motivation,Development of machine learning models to predict human behavior, preference, or satisfaction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motion sensing,,,,Building Equipment Interaction,,,,,,,PIR,,,,,,,,Thermostat  Interaction,,,,,,,,"Activity rate,Clothing level,Comfort experience,Personal attitude",,,,,,"Social norms,Degree of control",,"Operable window,Adjustable internal blind,Light,Heating,Cooling,Ventilation",,"Operable window,Adjustable internal blind,Light,Heating,Cooling,Ventilation",,,,"Heating,Cooling,Ventilation",,,Adjustable external blind,"Online system (complaints tracked and stored in a database),Phone system (complaints tracked and stored in a database),Face to Face communictaion (no tracking)",,No,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Classification,,,,Classification,,,,,,Classification,,,,,,"Thermal environmental sensor data (i.e.: temperature, humidity sensors)",,5000+,,,,,,,,,,,,,,,Proposed Model (not highest performing),,,,,,,,R,,,"We plan to share data/code, but haven't yet",Canada
4/1/22 4:36,4/1/22 5:53,100,4620,True,4/1/22 5:53,India,A whole building,,"501-1000 sqm (10,800 sqft)",Completed with publication - the case study has been completed and published (you can submit a link in a future question),Less than 10 years,New Construction (built recently),,University or higher education laboratory,,16-30,,,https://doi.org/10.1016/j.enbuild.2020.109936,,,,,"Data about the occupants (occupant demographics and/or meta data),Data about the building operators or operations policies for non-residential case studies,Building HVAC and automation and/or controls information,Building lighting systems and automation and/or controls information,Modes of occupant detection, presence and/or indoor environmental sensing",Office workers,,35.0,65.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,0.0,0.0,40.0,40.0,20.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,,0.0,,,"Occupant type,Age,Gender,Education,Health/ Well-being",,,"Occupant type,Age,Gender,Education,Income",,"Occupant type,Age,Gender,Education,Income",,,Building Manager,,Building owner,,Full time (stable occupant of the building),,"No, they do not",,There were no restrictions,,Yes,No problems declared,,Yes,Other (please describe),"VRF, VRF+DOAS, Radiant + VRF",Natural ventilation,,6 to 10 zones,51 m2 to 200 m2 (2150 sqft),5-10 Occupants,"RH,Temperature,Others",Surface Temp,5 - 10 years,LED,,,Standalone on-off light switch (non-programmable),,,"21 m2 to 50 m2 (538 sqft.),51 m2 to 200 m2 (2150 sqft)",2-4 Occupants,"Operable windows,Controllable thermostats (not those that display numbers and do nothing else),Lights with manual override,Fan speed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,India
4/1/22 6:11,4/1/22 7:29,100,4627,True,4/1/22 7:29,united states,A whole floor or similar larger subsection of a building,,201-500 sqm (5380 sqft),Data collection phase - the case study data collection is currently underway,,,,University or higher education office,,11-15,"Yes, the IRB review process is in progress.",,,F_31hhywDmR00AGHT,Annex 79_A case study in Syracuse University.pdf,1412446.0,application/pdf,"Data about the occupants (occupant demographics and/or meta data),Building HVAC and automation and/or controls information,Modes of occupant detection, presence and/or indoor environmental sensing,An intervention or experiment that was designed to improve building performance or occupant satisfaction",Office workers,,10.0,90.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,,100.0,,,"Age,Gender",,,,,Occupant type,,,,,,,,,,,,,,,,Yes,Other (please describe),Rooftop unit,Mechanical - Forced Air,,Less than 5 zones,Less than 20 m2 (215 sqft),10+ Occupants,"CO2,RH,Temperature,Terminal device airflow,Discharge air temperature (i.e., air temperature at supply diffuser)",,5 - 10 years,,,,,,,,,,,Image-based,Motion sensing,Image-based,Image-based,Not collected,Not collected,,,Other,depth-sensing laser technology,,,PIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intervention related to system and control,,,,9.2021,9.2022,,,,Automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Presence,Count",,Building  simulation,,,"Energy efficiency,Comfort,Indoor environmental quality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States
4/2/22 19:15,4/2/22 21:23,100,7695,True,4/2/22 21:23,China,A room or small set of rooms in a larger building,,0-100 sqm (1080 sqft),Completed with publication - the case study has been completed and published (you can submit a link in a future question),26 to 50 years,Recently renovated/refurbished,,General office,,16-30,"Yes, IRB/Ethics Review is approved.",,https://doi.org/10.3390/technologies9040090,,,,,"Data about the occupants (occupant demographics and/or meta data),Building HVAC and automation and/or controls information,Modes of occupant detection, presence and/or indoor environmental sensing,An intervention or experiment that was designed to improve building performance or occupant satisfaction,Development of machine learning models to predict human behavior, preference, or satisfaction","Office workers,Students",,11.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,,0.0,,,"Occupant type,Gender",,,,,,,,,,,,,,,,,,,,,No,CAV system,,Mechanical - Forced Air,,Less than 5 zones,Less than 20 m2 (215 sqft),5-10 Occupants,"RH,Temperature",,,,,,,,,,,Fan speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intervention related to occupants' adaptation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,On/Off desktop fan,Other,Thermal comfort,,,,,,"Energy efficiency,Comfort",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Classification,Classification,Classification,,,,,,,,,,,,,,"Physiological sensor data (i.e.: skin temperature, heart rate)",,Less than 50,,Proposed Model (not highest performing),Proposed Model (not highest performing),"Proposed Model (not highest performing),Proposed Model (highest performer)",,,,,,,,,,,,,,,,,,,Python,,PMV vs machine learning models,"Yes, shared code and data online",China
4/10/22 14:25,4/10/22 15:01,100,2195,True,4/10/22 15:01,Poland,"A whole building,Larger group of buildings, campus or district (5+ buildings)",,"100,001-1 million sqm (10.8 million sqft)",Completed with publication - the case study has been completed and published (you can submit a link in a future question),"11 to 25 years,26 to 50 years","New Construction (built recently),Recently renovated/refurbished,Listed or historical building",,"General office,Public Assembly (community center, library, etc),Low-rise apartment (less than four floors),Mid- to high-rise apartment (more than five floors)",,,No IRB or Ethics review.,,https://doi.org/10.1016/j.jclepro.2022.131605     https://doi.org/10.1016/j.jclepro.2021.127232                     https://doi.org/10.1016/j.enbuild.2021.110766,,,,,"Data about the building operators or operations policies for non-residential case studies,Building HVAC and automation and/or controls information,An intervention or experiment that was designed to improve building performance or occupant satisfaction,Development of machine learning models to predict human behavior, preference, or satisfaction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Building Operator,,Building owner,,Only on request,,"Yes, reducing occupant complaints",,There were no restrictions,,No,,,Yes,"Boilers serving radiators,Ceiling fan system",,Natural ventilation,,Less than 5 zones,More than 200 m2,10+ Occupants,Temperature,,older than 20 years,LED,,,Standalone on-off light switch (non-programmable),,,21 m2 to 50 m2 (538 sqft.),2-4 Occupants,"Controllable thermostats (not those that display numbers and do nothing else),Lights with manual override",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intervention related to system and control,,01.10.2020,31.01.2021,01.02.2021,till now,,,,Automatic,Aware that intervention is occurring,,"System-level actuation (e.g., systems affecting multiple zones such as AHU)",,,,,,,,,,"Model Predictive Control,Deep Learning",,Heating,,Set point control,Other,outdoor temperature,,,Heating/cooling coils,,Deep Learning,,,,,,Presence,,Stochastic modelling,Machine Learning/ Deep Learning,Machine Learning/ Deep Learning,"Energy efficiency,Indoor environmental quality",,,,,,,,GJ,GJ,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regression,,,,,,,,,,,,,,,,"Other environmental sensor data (i.e.: lighting, particles, etc.)",,501-1000,,,,,,,,,,,,"Baseline Model,Proposed Model (not highest performing),Proposed Model (highest performer)",,,,,,,,,,,Python,,"easy appliabe, not sensors needed","We plan to share data/code, but haven't yet",Poland
3/31/22 2:08,4/5/22 10:04,62,460545,False,4/12/22 10:04,Germany,A whole building,,"4001-8000 sqm (86,100 sqft)",Data collection phase - the case study data collection is currently underway,51-100 years,Recently renovated/refurbished,,General office,,101-300,"Yes, IRB/Ethics Review is approved.",,,,,,,"Data about the occupants (occupant demographics and/or meta data),Building HVAC and automation and/or controls information,An intervention or experiment that was designed to improve building performance or occupant satisfaction",Office workers,,69.0,31.0,0.0,,0.0,84.0,0.0,0.0,16.0,&gt;55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,,100.0,"Education,Income,Health/ Well-being","Occupant type,Age,Gender","Occupant type,Age,Gender",,,,,,,,,,,,,,,,,,,,,No,Ceiling fan system,,Regulated mixed-mode (mechanical ventilation rate of a room changes when a window is open),,6 to 10 zones,21 m2 to 50 m2 (538 sqft),10+ Occupants,Window contact sensor,,newer than 5 years,LED,,,,,,Less than 20 m2 (215 sqft.),2-4 Occupants,"Operable windows,Controllable thermostats (not those that display numbers and do nothing else),Lights with manual override,Roller shades,Fan speed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Intervention related to system and control,Intervention related to occupants' adaptation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany
5/3/22 5:53,5/3/22 6:08,90,895,False,5/10/22 6:08,Brazil,Rooms or subsections of multiple buildings,,201-500 sqm (5380 sqft),Data collection phase - the case study data collection is currently underway,"Less than 10 years,11 to 25 years",New Construction (built recently),,School (Primary/secondary/high school),,101-300,"Yes, IRB/Ethics Review is approved.",,,,,,,"Modes of occupant detection, presence and/or indoor environmental sensing,Data about occupant interaction interfaces and motivation,Development of machine learning models to predict human behavior, preference, or satisfaction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Environmental sensing,Building Equipment State",,,,,,,,,,,"CO2-sensing,Temperature-sensing,Humidity-sensing",,Fan Operation State,,,,,,,,,,,,"Clothing level,Comfort experience,Personal attitude,Social norms",,,,Activity rate,,"Operable window,Fan",,"Operable window,Adjustable internal blind,Fan",,,,Light,,,,,,Yes,Collected via Survey,,Collected via Survey,,,,,,,Collected via Survey,Collected via Survey,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brazil
7/12/22 3:13,7/12/22 4:13,100,3627,True,7/12/22 4:13,Poland,A whole building,,"4001-8000 sqm (86,100 sqft)",Data collection phase - the case study data collection is currently underway,26 to 50 years,Recently renovated/refurbished,,Other,"research institution (labs, classrooms, lecture rooms)",101-300,No IRB or Ethics review.,,,,,,,"Data about the building operators or operations policies for non-residential case studies,Building HVAC and automation and/or controls information,An intervention or experiment that was designed to improve building performance or occupant satisfaction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Technical manager,,Building owner,,Full time (stable occupant of the building),,,,"Thermostats (e.g. limiting changes, e.g, to +/- 2°C)",,,,,Yes,Other (please describe),distric heating  serving radiators through heat exchanger,Natural ventilation,,,,,Temperature,,newer than 5 years,,,,,,,,,"Operable windows,Controllable thermostats (not those that display numbers and do nothing else),Lights with manual override,Roller shades",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intervention related to system and control,,,Jan 2021,Jan 2021,,,,,,,,Zone-level actuation,Heating,,"Set point control,Schedule control",Temperature,,"Setback schedule change,Other",occupants one time per week declare their shedule of occupancy which is base for temperature control in rooms.,,,,,,,,,,,,,,,,,,,,,,,,Other,"Energy efficiency,Comfort",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poland
10/9/22 11:01,10/9/22 11:16,100,933,True,10/9/22 11:16,Luxembourg,A whole building,,"2001-4000 sqm (43,100 sqft)",Completed with publication - the case study has been completed and published (you can submit a link in a future question),Less than 10 years,New Construction (built recently),,General office,,31-50,No IRB or Ethics review.,,doi:10.1088/1742-6596/2042/1/012126,,,,,"Data about the occupants (occupant demographics and/or meta data),Data about occupant interaction interfaces and motivation,Development of machine learning models to predict human behavior, preference, or satisfaction",Office workers,,28.0,72.0,0.0,0.0,0.0,87.5,12.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,,100.0,,,"Age,Gender",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comfort experience,Personal attitude,Degree of control",,,,,,"Adjustable external blind,Adjustable internal blind",,"Adjustable external blind,Adjustable internal blind",Adjustable external blind,,,,,,,,,Yes,Collected via Survey,,,,,,,,,,Collected via Survey,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User shade override adjustment,,,"Thermal environmental sensor data (i.e.: temperature, humidity sensors)",,,,,,,,,,Baseline Model,,,,,,,,,,,,,,,Other,SPSS,,,Luxembourg
10/9/22 16:57,10/9/22 17:26,100,1791,True,10/9/22 17:27,,Rooms or subsections of multiple buildings,,"501-1000 sqm (10,800 sqft)",Data collection phase - the case study data collection is currently underway,"Less than 10 years,11 to 25 years",New Construction (built recently),,School (Primary/secondary/high school),,51-100,"Yes, the IRB review process is in progress.",,,,,,,"Data about the occupants (occupant demographics and/or meta data),Data about the building operators or operations policies for non-residential case studies,Building HVAC and automation and/or controls information,Building lighting systems and automation and/or controls information,Modes of occupant detection, presence and/or indoor environmental sensing,An intervention or experiment that was designed to improve building performance or occupant satisfaction","Teacher,Pupils",,0.0,0.0,0.0,100.0,95.0,5.0,0.0,0.0,0.0,,95.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,,0.0,,,"Occupant type,Age,Gender,Education,Health/ Well-being",,,,,,,,Other (please specify),Teachers & Administrators,Building owner,,Full time (stable occupant of the building),,"Yes, Occupant comfort",,There were no restrictions,,Yes,Other (please specify),Not yet known,No,Other (please describe),stand-alone gas heaters and individual split system a/c,Natural ventilation,,,,,,,,LED,,,Standalone on-off light switch (non-programmable),,,51 m2 to 200 m2 (2150 sqft),10+ Occupants,"Operable windows,Lights with manual override,Other",gas heaters and split system a/c,Not collected,Not collected,Not collected,Not collected,Not collected,Not collected,,standard school hours x no of children + teachers in classroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intervention related to occupants' adaptation,,01/8/2022,28/2/2023,,,Occupant Surveys & Acitivities,01/11/2022,30/11/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,Making other decisions that would change their situation towards improving an objective,,"Data visualization,Notification",,,,,,,"Comfort,Health",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CO2 - post intervention not yet measured,up to 2700 ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not provided
10/10/22 0:03,10/10/22 0:13,100,554,True,10/10/22 0:13,South Korea,"A room or small set of rooms in a larger building,Rooms or subsections of multiple buildings",,"1001-2000 sqm (21,500 sqft)",Completed with publication - the case study has been completed and published (you can submit a link in a future question),11 to 25 years,"New Construction (built recently),Recently renovated/refurbished,Listed or historical building",,"Low-rise apartment (less than four floors),Mid- to high-rise apartment (more than five floors)",,101-300,,,https://doi.org/10.1016/j.enbuild.2022.112494,,,,,"Data about the occupants (occupant demographics and/or meta data),Modes of occupant detection, presence and/or indoor environmental sensing",Residents,,50.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,,100.0,"Occupant type,Age,Gender,Education,Income,Health/ Well-being",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not collected,Motion sensing,Not collected,Not collected,Not collected,Motion sensing,Not collected,,,,,,PIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Korea
10/10/22 19:59,10/10/22 23:18,100,11924,True,10/10/22 23:18,Korea,Rooms or subsections of multiple buildings,,0-100 sqm (1080 sqft),Analysis phase - completion of data collection and analysis underway,11 to 25 years,Listed or historical building,,Mid- to high-rise apartment (more than five floors),,,No IRB or Ethics review.,,"Not yet, only by presentation.",F_xsmPLgpAkjhJ8cN,Residential cooling UA.pdf,1691264.0,application/pdf,"Modes of occupant detection, presence and/or indoor environmental sensing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motion sensing,Motion sensing,Not collected,Not collected,Not collected,Not collected,,,,,,,PIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Korea
